locus,beta_hat,OR,p_value,p_adj
Locus_31,0.1478573683255372,1.1593475248908898,5.042364042726576e-09,5.042364042726576e-07
Locus_32,-0.6715916692801478,0.5108947548032249,1.3195965008205567e-13,1.3195965008205568e-11
Locus_33,0.44494054461988725,1.560397419052978,7.514122545466403e-24,7.514122545466402e-22
Locus_34,0.26101614016698965,1.298248619214099,3.280788964810668e-16,3.280788964810668e-14
Locus_35,0.1099349140208725,1.1162054187720056,1.4824207186016677e-05,0.0014824207186016677
Locus_36,0.24958689723472413,1.283495091784307,3.59200321728172e-12,3.5920032172817204e-10
Locus_37,-0.28028550625788473,0.7555679912684122,5.863816482575097e-10,5.863816482575097e-08
Locus_38,0.31823881423352957,1.3747045210359647,6.174919934090599e-28,6.174919934090599e-26
Locus_39,0.22843298799694475,1.2566293130629533,2.39968349769824e-16,2.39968349769824e-14
Locus_40,-0.15762647748346773,0.854168773659364,3.0455947990411856e-07,3.0455947990411857e-05
Locus_41,0.4680010847294799,1.596799134781208,4.38365314388695e-27,4.38365314388695e-25
Locus_42,-0.13183137518354518,0.8764887803786047,7.004371358542539e-05,0.007004371358542539
Locus_43,0.07646361010328388,1.0794629080786973,0.0018497684931172427,0.18497684931172426
Locus_44,0.37275887149287573,1.4517342431145386,1.3135083857120507e-23,1.3135083857120508e-21
Locus_45,-0.28069682541235214,0.7552572755871373,4.852035275129382e-07,4.8520352751293815e-05
Locus_46,0.16913065474008143,1.1842748599402426,3.9083475183213666e-10,3.9083475183213666e-08
Locus_47,0.49140862177164163,1.6346171563150749,2.041649899851956e-28,2.041649899851956e-26
Locus_48,0.17788726306183458,1.1946906278790432,5.373210457208379e-10,5.373210457208379e-08
Locus_49,-0.03028037832912389,0.9701734797920771,0.23048183666378974,23.048183666378975
Locus_50,-0.12864531338026414,0.8792857811454,3.932490627958781e-06,0.0003932490627958781
Locus_51,0.2725002567804471,1.3132437961277739,2.939527288211357e-18,2.939527288211357e-16
Locus_52,-0.07005450170431883,0.9323430042384498,0.008598695780019937,0.8598695780019937
Locus_53,-0.25646898609879404,0.773778992092558,1.766222202454782e-09,1.766222202454782e-07
Locus_54,-0.09466447360161827,0.9096781042871216,0.0007500280355752263,0.07500280355752263
Locus_55,-0.24676861163220534,0.7813214613144452,1.0612151829619628e-05,0.0010612151829619628
Locus_56,-0.6861577554918791,0.5035069540535035,2.961013332536451e-12,2.961013332536451e-10
Locus_57,0.09013056502690739,1.0943171539267278,0.0002297458991262041,0.02297458991262041
Locus_58,0.10010516005867107,1.1052871440252907,5.3944493379396986e-05,0.005394449337939699
Locus_59,0.09255333284548878,1.0969716446194508,0.00037376471573894636,0.037376471573894635
Locus_60,-0.652922017243583,0.5205225764918868,1.7201398782580377e-11,1.7201398782580378e-09
Locus_61,0.855107702294161,2.3516276426283285,5.3689566664036765e-59,5.368956666403677e-57
Locus_62,0.42684922538085834,1.532421594022681,6.326498289305181e-21,6.3264982893051815e-19
Locus_63,0.2273179576921867,1.2552289141857262,5.398443884608246e-16,5.398443884608246e-14
Locus_64,0.1304412857808684,1.1393310429971584,3.599423384070386e-06,0.0003599423384070386
Locus_65,-0.12704272227963234,0.8806960464506577,1.3994147950656676e-06,0.00013994147950656676
Locus_66,-0.12478027566176965,0.8826908299370055,7.469030842100455e-06,0.0007469030842100456
Locus_67,0.30553293723549946,1.3573481916749037,4.551165508369896e-13,4.5511655083698954e-11
Locus_68,-0.1335837268173527,0.8749542087795075,1.1504213817022752e-06,0.00011504213817022753
Locus_69,-0.16934502861823827,0.8442175739074029,1.2252844976827231e-09,1.2252844976827231e-07
Locus_70,0.2351827261369886,1.2651399217440507,2.37488633601638e-12,2.3748863360163804e-10
Locus_71,0.11153384871590141,1.1179915859446494,1.3041375334074372e-05,0.0013041375334074373
Locus_72,0.28724362990046787,1.3327488714007691,1.5127642930886637e-24,1.5127642930886636e-22
Locus_73,-0.11873965497756372,0.8880389671939678,7.862766264340681e-05,0.007862766264340681
Locus_74,0.10500241166105882,1.110713289016462,2.8014220269382195e-05,0.0028014220269382195
Locus_75,-0.4071112324717219,0.6655701531706896,1.0319039710944989e-10,1.0319039710944988e-08
Locus_76,-0.1357890825281214,0.873026749666194,2.5473245527210007e-06,0.00025473245527210005
Locus_77,-0.1482185948449913,0.8622426125497352,2.163372476156796e-07,2.1633724761567958e-05
Locus_78,0.10753556014846533,1.1135304573508855,3.35445096216994e-05,0.00335445096216994
Locus_79,0.20433915516503243,1.2267141293450232,2.786659447817417e-11,2.7866594478174167e-09
Locus_80,0.11798431286726573,1.1252264596520616,3.6872029546348944e-05,0.0036872029546348942
Locus_81,-0.1236876316881908,0.8836558238542571,6.23624704339618e-06,0.000623624704339618
Locus_82,0.1776588057444994,1.1944177232378705,3.433183469192191e-10,3.433183469192191e-08
Locus_83,0.4429152404335045,1.5572403377319153,3.2500054129055534e-24,3.2500054129055535e-22
Locus_84,-0.14404698326341178,0.8658470667827299,3.7639266438895036e-07,3.763926643889504e-05
Locus_85,-0.1570319552230874,0.8546767469951919,1.2593487982575865e-09,1.2593487982575864e-07
Locus_86,-0.04420450893608749,0.9567582718477307,0.08578739473041634,8.578739473041635
Locus_87,-0.1595609350106531,0.8525180176191737,6.152056310000798e-07,6.152056310000798e-05
Locus_88,-0.7319166877695376,0.4809862056501935,1.7057460802467988e-12,1.7057460802467987e-10
Locus_89,-0.11408483524426324,0.892182264171483,0.000264457060178755,0.0264457060178755
Locus_90,0.4419171865560455,1.5556869033092802,5.898826590148989e-23,5.898826590148988e-21
Locus_91,-0.193919549638922,0.8237241705099158,9.997517293902586e-08,9.997517293902586e-06
Locus_92,0.1614869373756452,1.175257106116009,1.980653565766939e-10,1.9806535657669392e-08
Locus_93,-0.35938702616483714,0.6981041145024882,4.009720188028842e-09,4.009720188028842e-07
Locus_94,-0.12564387358497642,0.8819288690307223,2.2987230612586653e-05,0.002298723061258665
Locus_95,0.1822689366779454,1.1999368575220857,3.1361591743202525e-10,3.136159174320252e-08
Locus_96,0.3399509849502782,1.404878728675234,4.977784792718472e-21,4.977784792718472e-19
Locus_97,-0.39376148119305054,0.6745149215493383,1.1003945020187129e-10,1.1003945020187129e-08
Locus_98,0.29428583250751866,1.342167483941949,1.0496411014329418e-15,1.0496411014329418e-13
Locus_99,0.3060298321161645,1.3580228186380885,9.676655478379653e-21,9.676655478379653e-19
