locus_index,beta_hat,beta_true,p_adj
46,0.16913065474008143,0.1688632778741719,3.9083475183213666e-08
47,0.49140862177164163,0.4939587409929767,2.041649899851956e-26
48,0.17788726306183458,0.1986906378692918,5.373210457208379e-08
49,-0.03028037832912389,-0.1070265680601607,23.048183666378975
50,-0.12864531338026414,-0.1423472466434104,0.0003932490627958781
51,0.2725002567804471,0.2558369042503061,2.939527288211357e-16
52,-0.07005450170431883,-0.1308192651415301,0.8598695780019937
53,-0.25646898609879404,-0.3128816583898199,1.766222202454782e-07
54,-0.09466447360161827,-0.1518945213474405,0.07500280355752263
55,-0.24676861163220534,-0.4478543174731888,0.0010612151829619628
56,-0.6861577554918791,-0.7678417927920993,2.961013332536451e-10
57,0.09013056502690739,0.1006930113697217,0.02297458991262041
58,0.10010516005867107,0.1100497398476212,0.005394449337939699
59,0.09255333284548878,0.1365325162323115,0.037376471573894635
60,-0.652922017243583,-0.7940057715186308,1.7201398782580378e-09
61,0.855107702294161,0.8352302068334844,5.368956666403677e-57
62,0.42684922538085834,0.4934189039179618,6.3264982893051815e-19
63,0.2273179576921867,0.1947723320569118,5.398443884608246e-14
64,0.1304412857808684,0.182812508118364,0.0003599423384070386
65,-0.12704272227963234,-0.114595537922366,0.00013994147950656676
66,-0.12478027566176965,-0.1448158981871191,0.0007469030842100456
67,0.30553293723549946,0.4188612317244181,4.5511655083698954e-11
68,-0.1335837268173527,-0.1351518316188012,0.00011504213817022753
69,-0.16934502861823827,-0.1393370361095214,1.2252844976827231e-07
70,0.2351827261369886,0.2922028427111668,2.3748863360163804e-10
71,0.11153384871590141,0.131355760949162,0.0013041375334074373
72,0.28724362990046787,0.2051751991015868,1.5127642930886636e-22
73,-0.11873965497756372,-0.1827881423267646,0.007862766264340681
74,0.10500241166105882,0.1162548842839754,0.0028014220269382195
75,-0.4071112324717219,-0.4763381493034258,1.0319039710944988e-08
76,-0.1357890825281214,-0.1604628893412995,0.00025473245527210005
77,-0.1482185948449913,-0.1536940429784624,2.1633724761567958e-05
78,0.10753556014846533,0.1358036332771709,0.00335445096216994
79,0.20433915516503243,0.2398596613411585,2.7866594478174167e-09
80,0.11798431286726573,0.1888490938724799,0.0036872029546348942
81,-0.1236876316881908,-0.136429674555168,0.000623624704339618
82,0.1776588057444994,0.1912873048209799,3.433183469192191e-08
83,0.4429152404335045,0.4650800814107693,3.2500054129055535e-22
84,-0.14404698326341178,-0.1500227291384564,3.763926643889504e-05
85,-0.1570319552230874,-0.1021438758182388,1.2593487982575864e-07
86,-0.04420450893608749,-0.1134512089308941,8.578739473041635
87,-0.1595609350106531,-0.2041981251292229,6.152056310000798e-05
88,-0.7319166877695376,-0.8500410103472558,1.7057460802467987e-10
89,-0.11408483524426324,-0.200085913293919,0.0264457060178755
90,0.4419171865560455,0.4809436330001135,5.898826590148988e-21
91,-0.193919549638922,-0.2555837539335224,9.997517293902586e-06
92,0.1614869373756452,0.1321443379082073,1.9806535657669392e-08
93,-0.35938702616483714,-0.4755094500277851,4.009720188028842e-07
94,-0.12564387358497642,-0.1738508236262126,0.002298723061258665
95,0.1822689366779454,0.2047204485188532,3.136159174320252e-08
96,0.3399509849502782,0.3448915195426643,4.977784792718472e-19
97,-0.39376148119305054,-0.4678394113738189,1.1003945020187129e-08
98,0.29428583250751866,0.3367974622594394,1.0496411014329418e-13
99,0.3060298321161645,0.2846634734013393,9.676655478379653e-19
